Tick,Total_Output,Total_Profit,Total_Capital,Total_Labor,Total_Debt,Total_Tax_Revenue,Price_Level,Bankruptcies,Gini_Coefficient,Agri_Output,Mfg_Output,Svc_Output,Agri_Profit,Mfg_Profit,Svc_Profit,Agri_Price_Multiplier,Mfg_Price_Multiplier,Svc_Price_Multiplier,State_Odisha,State_Telangana,State_Maharashtra,State_Delhi,State_Kerala,State_Karnataka,State_Punjab,State_Haryana,State_Uttar Pradesh,State_Gujarat,State_Jharkhand,State_West Bengal,State_Andhra Pradesh,State_Tamil Nadu,State_Rajasthan,State_Bihar,State_Puducherry,State_Meghalaya,State_Goa,State_Chattisgarh,State_Chandigarh,State_Uttarakhand,State_Jammu & Kashmir,State_Madhya Pradesh,State_Himachal Pradesh,State_Manipur,State_Assam
0,6004311.00108777,-1209142.315397625,1576888.8138933184,30136200.0,2366367.807316045,-90381952.3610482,1.04,0.0,0.8593776579414311,4442404.757258823,263203.73672672606,1298702.5071022206,-106376.64944750367,-433015.5398321559,-669750.1261179656,1.0,1.0,1.0,711.6590756796674,2845.898983319116,11459.533237232103,12144.194332626379,922.3403896624861,3340.309246727207,1102.1124502763753,2449.0151092276737,4096.154641821879,6372.491300060669,546.0715881613253,4612.063334137486,582.7376977471727,4069.149006813849,1230.1625252621254,479.9905204332376,154.9448345157113,192.47819852935908,76.51190197734742,560.8947011231016,254.3680302596823,345.62874144108343,163.06587266261946,713.1669625686953,294.6305359152857,75.21741391789156,248.31937877815892
1,0.0,0.0,0.0,0.0,0.0,-100438986.77229245,1.0816000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
